"geneid"	"diseaseid"	"diseaseterm"	"disgenet.curated"	"disgenet.all"	"guildify.curated"	"guildify.all"
2	"C0239981"	"Hypoalbuminemia"	0	1	0	1
81	"C0239981"	"Hypoalbuminemia"	0	1	0	1
213	"C0239981"	"Hypoalbuminemia"	1	1	1	1
396	"C0239981"	"Hypoalbuminemia"	0	1	0	1
567	"C0239981"	"Hypoalbuminemia"	0	1	0	1
657	"C0239981"	"Hypoalbuminemia"	0	1	0	1
1048	"C0239981"	"Hypoalbuminemia"	0	1	0	1
1312	"C0239981"	"Hypoalbuminemia"	0	1	0	1
1401	"C0239981"	"Hypoalbuminemia"	0	1	0	1
1716	"C0239981"	"Hypoalbuminemia"	0	1	0	1
2272	"C0239981"	"Hypoalbuminemia"	0	1	0	1
2335	"C0239981"	"Hypoalbuminemia"	0	1	0	1
2395	"C0239981"	"Hypoalbuminemia"	0	1	0	1
2554	"C0239981"	"Hypoalbuminemia"	0	1	0	1
2566	"C0239981"	"Hypoalbuminemia"	0	1	0	1
2874	"C0239981"	"Hypoalbuminemia"	0	1	0	1
3569	"C0239981"	"Hypoalbuminemia"	1	1	1	1
3675	"C0239981"	"Hypoalbuminemia"	0	1	0	1
4023	"C0239981"	"Hypoalbuminemia"	0	1	0	1
4089	"C0239981"	"Hypoalbuminemia"	0	1	0	1
4351	"C0239981"	"Hypoalbuminemia"	0	1	0	1
4643	"C0239981"	"Hypoalbuminemia"	0	1	0	1
4868	"C0239981"	"Hypoalbuminemia"	0	1	0	1
5168	"C0239981"	"Hypoalbuminemia"	0	1	0	1
5373	"C0239981"	"Hypoalbuminemia"	0	1	0	1
5551	"C0239981"	"Hypoalbuminemia"	0	1	0	1
5800	"C0239981"	"Hypoalbuminemia"	0	1	0	1
6992	"C0239981"	"Hypoalbuminemia"	0	1	0	1
7124	"C0239981"	"Hypoalbuminemia"	0	1	0	1
7133	"C0239981"	"Hypoalbuminemia"	1	1	1	1
7173	"C0239981"	"Hypoalbuminemia"	0	1	0	0
7276	"C0239981"	"Hypoalbuminemia"	0	1	0	1
7827	"C0239981"	"Hypoalbuminemia"	0	1	0	0
8694	"C0239981"	"Hypoalbuminemia"	0	1	0	1
9370	"C0239981"	"Hypoalbuminemia"	0	1	0	1
9640	"C0239981"	"Hypoalbuminemia"	0	1	0	1
9652	"C0239981"	"Hypoalbuminemia"	0	1	0	1
23218	"C0239981"	"Hypoalbuminemia"	0	1	0	1
51128	"C0239981"	"Hypoalbuminemia"	0	1	0	1
51196	"C0239981"	"Hypoalbuminemia"	0	1	0	1
54840	"C0239981"	"Hypoalbuminemia"	0	1	0	1
57122	"C0239981"	"Hypoalbuminemia"	0	1	0	1
79934	"C0239981"	"Hypoalbuminemia"	0	1	0	0
84942	"C0239981"	"Hypoalbuminemia"	0	1	0	1
147372	"C0239981"	"Hypoalbuminemia"	0	1	0	1
125150	"C0239981"	"Hypoalbuminemia"	0	0	0	1
3570	"C0239981"	"Hypoalbuminemia"	0	0	1	1
2557	"C0239981"	"Hypoalbuminemia"	0	0	0	1
126074	"C0239981"	"Hypoalbuminemia"	0	0	0	1
1087	"C0239981"	"Hypoalbuminemia"	0	0	0	1
9607	"C0239981"	"Hypoalbuminemia"	0	0	0	1
4013	"C0239981"	"Hypoalbuminemia"	0	0	0	1
4680	"C0239981"	"Hypoalbuminemia"	0	0	0	1
909	"C0239981"	"Hypoalbuminemia"	0	0	0	1
58486	"C0239981"	"Hypoalbuminemia"	0	0	0	1
966	"C0239981"	"Hypoalbuminemia"	0	0	0	1
79650	"C0239981"	"Hypoalbuminemia"	0	0	0	1
5670	"C0239981"	"Hypoalbuminemia"	0	0	0	1
5008	"C0239981"	"Hypoalbuminemia"	0	0	1	1
1088	"C0239981"	"Hypoalbuminemia"	0	0	0	1
634	"C0239981"	"Hypoalbuminemia"	0	0	0	1
5697	"C0239981"	"Hypoalbuminemia"	0	0	0	1
11234	"C0239981"	"Hypoalbuminemia"	0	0	0	1
4922	"C0239981"	"Hypoalbuminemia"	0	0	0	1
284217	"C0239981"	"Hypoalbuminemia"	0	0	0	1
623	"C0239981"	"Hypoalbuminemia"	0	0	0	1
2796	"C0239981"	"Hypoalbuminemia"	0	0	0	1
2217	"C0239981"	"Hypoalbuminemia"	0	0	0	1
56729	"C0239981"	"Hypoalbuminemia"	0	0	0	1
55245	"C0239981"	"Hypoalbuminemia"	0	0	0	1
4225	"C0239981"	"Hypoalbuminemia"	0	0	0	1
2736	"C0239981"	"Hypoalbuminemia"	0	0	0	1
6372	"C0239981"	"Hypoalbuminemia"	0	0	0	1
4049	"C0239981"	"Hypoalbuminemia"	0	0	0	1
6512	"C0239981"	"Hypoalbuminemia"	0	0	0	1
2	"C0239946"	"Fibrosis, Liver"	1	1	1	0
17	"C0239946"	"Fibrosis, Liver"	0	1	0	0
38	"C0239946"	"Fibrosis, Liver"	0	1	0	0
59	"C0239946"	"Fibrosis, Liver"	1	1	1	0
102	"C0239946"	"Fibrosis, Liver"	0	1	0	0
123	"C0239946"	"Fibrosis, Liver"	0	1	0	0
135	"C0239946"	"Fibrosis, Liver"	0	1	0	0
148	"C0239946"	"Fibrosis, Liver"	1	1	1	0
174	"C0239946"	"Fibrosis, Liver"	0	1	0	0
177	"C0239946"	"Fibrosis, Liver"	0	1	0	0
178	"C0239946"	"Fibrosis, Liver"	0	1	0	0
183	"C0239946"	"Fibrosis, Liver"	1	1	1	0
185	"C0239946"	"Fibrosis, Liver"	0	1	0	0
186	"C0239946"	"Fibrosis, Liver"	0	1	0	0
196	"C0239946"	"Fibrosis, Liver"	0	1	0	0
210	"C0239946"	"Fibrosis, Liver"	1	1	1	0
213	"C0239946"	"Fibrosis, Liver"	1	1	1	0
217	"C0239946"	"Fibrosis, Liver"	0	1	0	0
284	"C0239946"	"Fibrosis, Liver"	0	1	0	0
292	"C0239946"	"Fibrosis, Liver"	0	1	0	0
301	"C0239946"	"Fibrosis, Liver"	0	1	0	0
309	"C0239946"	"Fibrosis, Liver"	0	1	0	0
338	"C0239946"	"Fibrosis, Liver"	0	1	0	0
348	"C0239946"	"Fibrosis, Liver"	0	1	0	0
355	"C0239946"	"Fibrosis, Liver"	0	1	0	0
374	"C0239946"	"Fibrosis, Liver"	0	1	0	0
383	"C0239946"	"Fibrosis, Liver"	0	1	0	0
405	"C0239946"	"Fibrosis, Liver"	1	1	1	0
408	"C0239946"	"Fibrosis, Liver"	1	1	1	0
429	"C0239946"	"Fibrosis, Liver"	0	1	0	0
435	"C0239946"	"Fibrosis, Liver"	0	1	0	0
472	"C0239946"	"Fibrosis, Liver"	0	1	0	0
540	"C0239946"	"Fibrosis, Liver"	1	1	1	0
578	"C0239946"	"Fibrosis, Liver"	0	1	0	0
581	"C0239946"	"Fibrosis, Liver"	0	1	0	0
582	"C0239946"	"Fibrosis, Liver"	0	1	0	0
583	"C0239946"	"Fibrosis, Liver"	0	1	0	0
585	"C0239946"	"Fibrosis, Liver"	0	1	0	0
596	"C0239946"	"Fibrosis, Liver"	0	1	0	0
627	"C0239946"	"Fibrosis, Liver"	0	1	0	0
637	"C0239946"	"Fibrosis, Liver"	0	1	0	0
655	"C0239946"	"Fibrosis, Liver"	0	1	0	0
682	"C0239946"	"Fibrosis, Liver"	0	1	0	0
710	"C0239946"	"Fibrosis, Liver"	1	1	1	0
713	"C0239946"	"Fibrosis, Liver"	1	1	1	0
780	"C0239946"	"Fibrosis, Liver"	0	1	0	0
796	"C0239946"	"Fibrosis, Liver"	0	1	0	0
836	"C0239946"	"Fibrosis, Liver"	0	1	0	0
866	"C0239946"	"Fibrosis, Liver"	1	1	0	0
871	"C0239946"	"Fibrosis, Liver"	1	1	1	0
890	"C0239946"	"Fibrosis, Liver"	0	1	0	0
898	"C0239946"	"Fibrosis, Liver"	0	1	0	0
928	"C0239946"	"Fibrosis, Liver"	1	1	1	0
929	"C0239946"	"Fibrosis, Liver"	1	1	1	0
947	"C0239946"	"Fibrosis, Liver"	0	1	0	0
952	"C0239946"	"Fibrosis, Liver"	0	1	0	0
960	"C0239946"	"Fibrosis, Liver"	0	1	0	0
975	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1026	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1116	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1118	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1131	"C0239946"	"Fibrosis, Liver"	1	1	0	0
1154	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1174	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1191	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1213	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1230	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1234	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1268	"C0239946"	"Fibrosis, Liver"	1	1	0	0
1269	"C0239946"	"Fibrosis, Liver"	1	1	0	0
1277	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1278	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1281	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1290	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1316	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1356	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1398	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1401	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1432	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1435	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1440	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1490	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1499	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1508	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1524	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1535	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1536	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1544	"C0239946"	"Fibrosis, Liver"	1	1	0	0
1555	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1565	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1571	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1576	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1592	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1593	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1634	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1636	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1666	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1717	"C0239946"	"Fibrosis, Liver"	1	1	1	0
1822	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1839	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1950	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1956	"C0239946"	"Fibrosis, Liver"	0	1	0	0
1958	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2006	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2011	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2022	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2091	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2120	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2146	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2147	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2149	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2150	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2152	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2153	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2200	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2247	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2252	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2263	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2277	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2305	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2321	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2331	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2335	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2523	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2551	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2638	"C0239946"	"Fibrosis, Liver"	1	1	1	0
2646	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2658	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2668	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2694	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2737	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2819	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2833	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2859	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2875	"C0239946"	"Fibrosis, Liver"	0	1	0	0
2952	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3015	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3026	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3043	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3065	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3066	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3068	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3077	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3082	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3083	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3107	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3123	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3135	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3162	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3172	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3178	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3291	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3309	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3339	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3371	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3429	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3439	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3447	"C0239946"	"Fibrosis, Liver"	0	1	1	0
3456	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3458	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3460	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3479	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3484	"C0239946"	"Fibrosis, Liver"	1	1	0	0
3485	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3491	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3553	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3557	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3558	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3559	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3565	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3569	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3576	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3578	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3586	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3592	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3594	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3596	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3605	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3620	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3627	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3635	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3643	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3663	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3669	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3672	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3684	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3704	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3727	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3791	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3804	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3856	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3875	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3918	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3934	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3952	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3953	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3956	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3958	"C0239946"	"Fibrosis, Liver"	0	1	0	0
3959	"C0239946"	"Fibrosis, Liver"	1	1	1	0
3988	"C0239946"	"Fibrosis, Liver"	0	1	0	0
4015	"C0239946"	"Fibrosis, Liver"	1	1	1	0
4060	"C0239946"	"Fibrosis, Liver"	1	1	1	0
4087	"C0239946"	"Fibrosis, Liver"	0	1	0	0
4088	"C0239946"	"Fibrosis, Liver"	1	1	1	0
4089	"C0239946"	"Fibrosis, Liver"	0	1	0	0
4092	"C0239946"	"Fibrosis, Liver"	0	1	0	0
4096	"C0239946"	"Fibrosis, Liver"	0	1	0	0
4142	"C0239946"	"Fibrosis, Liver"	0	1	0	0
4153	"C0239946"	"Fibrosis, Liver"	0	1	0	0
4204	"C0239946"	"Fibrosis, Liver"	0	1	0	0
