"pert_iname"	"cell_id"	"DILIConcern"	"num_doses"	"min_dose"	"max_dose"	"num_times"	"min_time"	"max_time"
"alaproclate"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"alaproclate"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"alaproclate"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"alaproclate"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"alaproclate"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"alaproclate"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"alaproclate"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"alaproclate"	"VCAP"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"alaproclate"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"alaproclate"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"alaproclate"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"alaproclate"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"alaproclate"	"SKB"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"acitretin"	"A375"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acitretin"	"A549"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acitretin"	"ASC"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
"acitretin"	"HA1E"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acitretin"	"HCC515"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acitretin"	"HEPG2"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acitretin"	"HT29"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"6"	"6"
"acitretin"	"MCF7"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acitretin"	"NEU"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acitretin"	"NPC"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acitretin"	"PC3"	"Most-DILI-Concern"	"1"	"10"	"10"	"2"	"6"	"24"
"acitretin"	"PHH"	"Most-DILI-Concern"	"1"	"10"	"10"	"1"	"24"	"24"
