Disease term	Disease ID (UMLS)	Gene symbol	Gene ID (Entrez)	DisGeNET	GUILDify
Biliary cirrhosis	C0023892	CXCR5	643	1	1
Biliary cirrhosis	C0023892	CD3D	915	1	1
Biliary cirrhosis	C0023892	CD28	940	0	1
Biliary cirrhosis	C0023892	CD80	941	1	1
Biliary cirrhosis	C0023892	ENTPD2	954	1	1
Biliary cirrhosis	C0023892	CDH5	1003	1	1
Biliary cirrhosis	C0023892	CCR1	1230	0	1
Biliary cirrhosis	C0023892	CCR3	1232	0	1
Biliary cirrhosis	C0023892	CCR4	1233	0	1
Biliary cirrhosis	C0023892	CCR5	1234	0	1
Biliary cirrhosis	C0023892	CCR8	1237	0	1
Biliary cirrhosis	C0023892	ABCC2	1244	1	1
Biliary cirrhosis	C0023892	CTLA4	1493	0	1
Biliary cirrhosis	C0023892	DPP4	1803	0	1
Biliary cirrhosis	C0023892	CXCR3	2833	0	1
Biliary cirrhosis	C0023892	CXCL2	2920	0	1
Biliary cirrhosis	C0023892	GYS2	2998	0	1
Biliary cirrhosis	C0023892	HIF1A	3091	1	1
Biliary cirrhosis	C0023892	ICAM3	3385	1	1
Biliary cirrhosis	C0023892	IGFBP1	3484	1	0
Biliary cirrhosis	C0023892	IL7	3574	0	1
Biliary cirrhosis	C0023892	IL7R	3575	1	1
Biliary cirrhosis	C0023892	IL12A	3592	1	1
Biliary cirrhosis	C0023892	IL12B	3593	1	0
Biliary cirrhosis	C0023892	IL12RB1	3594	0	1
Biliary cirrhosis	C0023892	IL12RB2	3595	0	1
Biliary cirrhosis	C0023892	CXCL10	3627	1	1
Biliary cirrhosis	C0023892	KRT7	3855	1	1
Biliary cirrhosis	C0023892	LOX	4015	1	1
Biliary cirrhosis	C0023892	LOXL2	4017	1	1
Biliary cirrhosis	C0023892	LTA	4049	0	1
Biliary cirrhosis	C0023892	CXCL9	4283	1	1
Biliary cirrhosis	C0023892	NFKB1	4790	1	1
Biliary cirrhosis	C0023892	PDCD1	5133	0	1
Biliary cirrhosis	C0023892	ABCB4	5244	1	1
Biliary cirrhosis	C0023892	CCL1	6346	0	1
Biliary cirrhosis	C0023892	CCL2	6347	0	1
Biliary cirrhosis	C0023892	CCL4	6351	0	1
Biliary cirrhosis	C0023892	CCL5	6352	1	1
Biliary cirrhosis	C0023892	CCL7	6354	0	1
Biliary cirrhosis	C0023892	CCL8	6355	0	1
Biliary cirrhosis	C0023892	CCL11	6356	0	1
Biliary cirrhosis	C0023892	CCL13	6357	0	1
Biliary cirrhosis	C0023892	CCL16	6360	0	1
Biliary cirrhosis	C0023892	CCL17	6361	0	1
Biliary cirrhosis	C0023892	CCL19	6363	0	1
Biliary cirrhosis	C0023892	CCL22	6367	0	1
Biliary cirrhosis	C0023892	CCL25	6370	0	1
Biliary cirrhosis	C0023892	CXCL11	6373	0	1
Biliary cirrhosis	C0023892	CXCL12	6387	0	1
Biliary cirrhosis	C0023892	SFTPC	6440	0	1
Biliary cirrhosis	C0023892	SLC4A2	6522	1	1
Biliary cirrhosis	C0023892	SLC17A1	6568	0	1
Biliary cirrhosis	C0023892	SPIB	6689	1	1
Biliary cirrhosis	C0023892	STAT4	6775	1	1
Biliary cirrhosis	C0023892	TESK1	7016	0	1
