Gene Symbol	Gene ID	Included in the following datasets
ABCB11	8647	-
ABCC2	1244	Biliary cirrhosis  (DisGeNET); Biliary cirrhosis  (GUILDify); Hepatitis, Drug-Induced  (DisGeNET)
ACE	1636	Nonalcoholic Steatohepatitis  (DisGeNET); Nonalcoholic Steatohepatitis  (GUILDify)
ACVRL1	94	-
ADH1B	125	-
ADH1C	126	-
ADRA1A	148	Liver Cirrhosis  (DisGeNET); Liver Cirrhosis  (GUILDify)
ADRA2A	150	-
ADRB2	154	Landmark; DILI Landmark
ADRB3	155	-
AGTR1	185	-
AKT1	207	Landmark
ALB	213	Hepatitis, Drug-Induced  (DisGeNET); Liver Cirrhosis  (DisGeNET); Liver Cirrhosis  (GUILDify); Liver Failure, Acute  (DisGeNET); Liver Failure, Acute  (GUILDify)
ALDH2	217	-
APOBEC3G	60489	-
AR	367	-
BMPR1A	657	-
BMPR2	659	Liver Failure, Acute  (GUILDify)
C1S	716	-
CCL2	6347	Landmark; Biliary cirrhosis  (GUILDify); Hepatitis, Drug-Induced  (DisGeNET); Liver Cirrhosis  (DisGeNET); Liver Cirrhosis  (GUILDify); Liver Dysfunction  (DisGeNET)
CCR2	729230	Biliary cirrhosis  (GUILDify); Hepatitis, Drug-Induced  (DisGeNET); Liver Cirrhosis  (GUILDify); Liver Dysfunction  (DisGeNET)
CCR5	1234	Biliary cirrhosis  (GUILDify)
CELA1	-	-
CFTR	1080	-
CHRM3	1131	Hepatitis, Drug-Induced  (DisGeNET); Liver Cirrhosis  (DisGeNET)
CHUK	1147	-
CNR1	1268	Liver Cirrhosis  (DisGeNET)
CNR2	1269	Liver Cirrhosis  (DisGeNET)
COMT	1312	-
CPT1A	1374	Hyperammonemia  (DisGeNET); Hyperammonemia  (GUILDify)
CXCL8	3576	Steatohepatitis  (DisGeNET); Steatohepatitis  (GUILDify)
CXCR1	3577	Steatohepatitis  (GUILDify)
CYP11B2	1585	-
CYP17A1	1586	Nonalcoholic Steatohepatitis  (DisGeNET); Nonalcoholic Steatohepatitis  (GUILDify)
CYP19A1	1588	Steatohepatitis  (DisGeNET)
CYP1A1	1543	-
CYP1A2	1544	Hepatitis, Drug-Induced  (DisGeNET); Liver Cirrhosis  (DisGeNET); Liver Dysfunction  (DisGeNET); Nonalcoholic Steatohepatitis  (DisGeNET)
CYP1B1	1545	Steatohepatitis  (DisGeNET); Steatohepatitis  (GUILDify)
CYP2C19	1557	Hepatitis, Drug-Induced  (DisGeNET)
CYP2D6	1565	-
CYP2E1	1571	Hepatitis, Drug-Induced  (DisGeNET); Liver Cirrhosis, Alcoholic  (DisGeNET); Nonalcoholic Steatohepatitis  (DisGeNET); Nonalcoholic Steatohepatitis  (GUILDify); Steatohepatitis  (DisGeNET); Steatohepatitis  (GUILDify)
CYP3A4	1576	Hepatitis, Drug-Induced  (DisGeNET)
CYP3A5	1577	Hyperammonemia  (GUILDify)
CYP4F2	8529	-
DHCR7	1717	Liver Cirrhosis  (DisGeNET); Liver Cirrhosis  (GUILDify)
DRD4	1815	-
ECE1	1889	-
EDNRA	1909	-
EDNRB	1910	-
EIF2AK2	5610	-
ELANE	1991	-
EPHX1	2052	Hepatitis, Drug-Induced  (DisGeNET)
ESR1	2099	-
ESR2	2100	-
