Target name	Num. drugs targeted (Ambiguous-DILI)	% drugs targeted (Ambiguous-DILI)	Num. drugs targeted (Total)	% drugs targeted (Total)
CYP2D6	18	32.7272727272727	92	40
CYP3A4	17	30.9090909090909	100	43.4782608695652
ABCB1	17	30.9090909090909	84	36.5217391304348
CYP2C9	11	20	74	32.1739130434783
CYP1A2	11	20	59	25.6521739130435
DRD2	10	18.1818181818182	42	18.2608695652174
HTR2A	9	16.3636363636364	45	19.5652173913043
CYP3A5	8	14.5454545454545	46	20
ADRA2B	8	14.5454545454545	41	17.8260869565217
DRD1	8	14.5454545454545	34	14.7826086956522
ADRA2C	8	14.5454545454545	34	14.7826086956522
HTR1A	8	14.5454545454545	31	13.4782608695652
SLC22A1	8	14.5454545454545	25	10.8695652173913
ESR1	7	12.7272727272727	22	9.56521739130435
CA1	7	12.7272727272727	15	6.52173913043478
HTR2C	7	12.7272727272727	40	17.3913043478261
ADRA2A	7	12.7272727272727	37	16.0869565217391
HRH1	7	12.7272727272727	30	13.0434782608696
ADRB1	7	12.7272727272727	24	10.4347826086957
CYP2C19	6	10.9090909090909	40	17.3913043478261
